"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.002917917E0,8.457412720E-2,5.763015747E-2,9.823022919E0,9.823556040E0
1.012959917E0,7.918533325E-2,6.795867920E-2,9.811945953E0,9.812500807E0
1.023002917E0,7.694000244E-2,7.738906860E-2,9.828262024E0,9.828867852E0
1.033045917E0,9.415420532E-2,8.173004150E-2,9.823771362E0,9.824562514E0
1.043087917E0,9.669891357E-2,7.095245361E-2,9.816436615E0,9.817169284E0
1.053130917E0,8.652008057E-2,5.688171387E-2,9.820178833E0,9.820724697E0
1.063173917E0,1.025367737E-1,6.960525513E-2,9.830806732E0,9.831587852E0
1.073215917E0,9.235794067E-2,6.242019653E-2,9.807904358E0,9.808537820E0
1.083258917E0,9.175918579E-2,6.915618896E-2,9.816735992E0,9.817408409E0
1.093301917E0,1.040336609E-1,6.271957397E-2,9.820029144E0,9.820780475E0
1.103343917E0,1.028361511E-1,6.825805664E-2,9.819131012E0,9.819906734E0
1.113386917E0,9.610015869E-2,6.915618896E-2,9.819879456E0,9.820593177E0
1.123429917E0,8.292755127E-2,6.481521606E-2,9.811796265E0,9.812360773E0
1.133471917E0,1.152603149E-1,5.553451538E-2,9.816735992E0,9.817569687E0
1.143514917E0,1.184037781E-1,8.068222046E-2,9.811796265E0,9.812842351E0
1.153557917E0,8.652008057E-2,6.915618896E-2,9.813891907E0,9.814516935E0
1.163599917E0,9.205856323E-2,5.837860107E-2,9.818681946E0,9.819287041E0
1.173642917E0,9.984237671E-2,6.825805664E-2,9.799521790E0,9.800268107E0
1.183685917E0,9.475296021E-2,7.858657837E-2,9.818083191E0,9.818854898E0
1.193727917E0,9.624984741E-2,7.708969116E-2,9.814490662E0,9.815265345E0
1.203770917E0,1.031355286E-1,7.155120850E-2,9.807754669E0,9.808557904E0
1.213813917E0,8.831634521E-2,7.274871826E-2,9.798623657E0,9.799291695E0
1.223855917E0,8.681945801E-2,7.753875732E-2,9.814640350E0,9.815330615E0
1.233898917E0,9.385482788E-2,6.735992432E-2,9.818981323E0,9.819660906E0
1.243941917E0,8.068222046E-2,6.885681152E-2,9.812844086E0,9.813417342E0
1.253983917E0,9.909393311E-2,5.239105225E-2,9.817185059E0,9.817824958E0
1.264026917E0,8.711883545E-2,7.634124756E-2,9.811646576E0,9.812330315E0
1.274069917E0,1.071771240E-1,7.379653931E-2,9.811646576E0,9.812509434E0
1.284111917E0,9.205856323E-2,6.721023560E-2,9.817783813E0,9.818445447E0
1.294154917E0,8.442443848E-2,8.382568359E-2,9.814340973E0,9.815062046E0
1.304197917E0,8.128097534E-2,7.065307617E-2,9.816735992E0,9.817326724E0
1.314240917E0,8.652008057E-2,7.753875732E-2,9.817783813E0,9.818471215E0
1.324282917E0,9.610015869E-2,6.735992432E-2,9.820777588E0,9.821478760E0
1.334325917E0,9.954299927E-2,6.346801758E-2,9.814939728E0,9.815649691E0
1.344368917E0,1.061293030E-1,6.975494385E-2,9.815538483E0,9.816360063E0
1.354410917E0,9.669891357E-2,7.394622803E-2,9.811796265E0,9.812551384E0
1.364453917E0,8.741821289E-2,7.065307617E-2,9.796078949E0,9.796723767E0
1.374496917E0,9.265731812E-2,6.047424316E-2,9.809251556E0,9.809875565E0
1.384538917E0,8.577163696E-2,6.526428223E-2,9.814191284E0,9.814783073E0
1.394581917E0,9.699829102E-2,6.466552734E-2,9.828112335E0,9.828803710E0
1.404624917E0,1.041833496E-1,5.912704468E-2,9.818981323E0,9.819712033E0
1.414666917E0,9.116043091E-2,7.484436035E-2,9.815688171E0,9.816396802E0
1.424709917E0,8.906478882E-2,7.155120850E-2,9.810748444E0,9.811413616E0
1.434752917E0,8.128097534E-2,7.439529419E-2,9.811047821E0,9.811666556E0
1.444794917E0,1.040336609E-1,8.397537231E-2,9.824220428E0,9.825130121E0
1.454837917E0,1.005908203E-1,6.556365967E-2,9.827663269E0,9.828396738E0
1.464880917E0,9.864486694E-2,6.930587769E-2,9.821376343E0,9.822116237E0
1.474922917E0,9.116043091E-2,7.289840698E-2,9.795629883E0,9.796325291E0
1.484966000E0,8.861572266E-2,6.271957397E-2,9.817634125E0,9.818234378E0
1.495009000E0,9.550140381E-2,5.448669434E-2,9.791438599E0,9.792055920E0
1.505051000E0,9.460327148E-2,6.661148071E-2,9.798174591E0,9.798857698E0
1.515094000E0,8.397537231E-2,6.571334839E-2,9.809251556E0,9.809831100E0
1.525137000E0,8.846603394E-2,6.990463257E-2,9.827513580E0,9.828160360E0
1.535179000E0,9.235794067E-2,7.259902954E-2,9.827064514E0,9.827766663E0
1.545222000E0,8.143066406E-2,6.526428223E-2,9.817634125E0,9.818188743E0
1.555265000E0,1.011895752E-1,6.556365967E-2,9.826465759E0,9.827205465E0
1.565307000E0,1.145118713E-1,6.870712280E-2,9.826016693E0,9.826924122E0
1.575350000E0,7.768844604E-2,5.942642212E-2,9.819580078E0,9.820067205E0
1.585393000E0,7.783813477E-2,6.780899048E-2,9.810449066E0,9.810992188E0
1.595436000E0,1.079255676E-1,6.167175293E-2,9.816885681E0,9.817672627E0
1.605478000E0,9.250762939E-2,7.574249268E-2,9.827513580E0,9.828240827E0
1.615521000E0,1.014889526E-1,7.214996338E-2,9.822274475E0,9.823063753E0
1.625564000E0,9.535171509E-2,8.397537231E-2,9.809101868E0,9.809924733E0
1.635606000E0,7.319778442E-2,6.915618896E-2,9.812095642E0,9.812612363E0
1.645649000E0,9.400451660E-2,7.185058594E-2,9.820178833E0,9.820891592E0
