"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.011879042E0,9.091102523E-1,5.081717183E-1,1.848889589E-3,1.041500535E0
1.021923042E0,8.615692462E-1,4.984719184E-1,4.271741867E-2,9.962934293E-1
1.031966042E0,1.266131958E0,6.270288748E-1,-5.697176099E-2,1.414037173E0
1.042009042E0,1.750242822E0,7.040129507E-1,-7.388366282E-2,1.887973243E0
1.052052042E0,1.845703442E0,5.975464461E-1,5.230919123E-2,1.940726462E0
1.062096042E0,1.806745198E0,5.535883579E-1,3.585044861E-2,1.889992998E0
1.072139042E0,1.852716738E0,5.622029145E-1,-8.509511411E-2,1.938007381E0
1.082182042E0,2.253942736E0,5.368397030E-1,-2.252230525E-2,2.317102065E0
1.092225042E0,2.099562940E0,3.535052629E-1,1.175921845E-1,2.132359827E0
1.102268042E0,2.045476780E0,3.470763955E-1,-2.205745161E-2,2.074831033E0
1.112312042E0,1.255179099E0,7.098823126E-2,-3.596973181E-2,1.257699377E0
1.122355042E0,3.926915480E-1,-1.895033623E-1,-4.929845989E-2,4.388035031E-1
1.132398042E0,-3.567783698E-2,-3.350196926E-1,6.205591500E-2,3.425814342E-1
1.142441042E0,-2.673675537E-1,-4.711282915E-1,-5.576372623E-2,5.445703526E-1
1.152484042E0,-9.505662073E-1,-5.086839709E-1,1.014100152E-1,1.082875564E0
1.162528042E0,-1.940265344E0,-4.057239684E-1,4.661634207E-2,1.982779520E0
1.172571042E0,-2.575128099E0,-4.620429974E-1,-3.902022421E-2,2.616541809E0
1.182614042E0,-2.764572039E0,-5.641504393E-1,2.040210485E-2,2.821620195E0
1.192657042E0,-3.010985986E0,-8.240428394E-1,2.113826931E-2,3.121783150E0
1.202701042E0,-2.783089879E0,-8.585693322E-1,1.271108669E-1,2.915285191E0
1.212744042E0,-2.467267728E0,-8.523586390E-1,-5.701386094E-2,2.610972208E0
1.222787042E0,-2.416189960E0,-1.031554018E0,1.807959080E-3,2.627181167E0
1.232830042E0,-1.810182337E0,-1.066628541E0,7.650087655E-2,2.102453073E0
1.242873042E0,-1.873596451E-1,-2.234874162E-1,4.926337659E-2,2.957653497E-1
1.252917042E0,5.121533250E-2,5.478563780E-2,-8.291000962E-2,1.117968966E-1
1.262960042E0,-6.034372235E-2,-3.473511050E-2,-4.022299647E-3,6.974289657E-2
1.273003042E0,-5.952851085E-2,-3.470085403E-2,1.012117946E-1,1.224402721E-1
1.283046042E0,-8.075620601E-2,-5.272474097E-2,-5.357218981E-3,9.659276844E-2
1.293089042E0,-7.050113079E-2,-1.731603123E-2,-6.118058681E-2,9.493849895E-2
1.303133042E0,-4.138701266E-2,2.039397814E-2,5.423058629E-2,7.120221661E-2
1.313176042E0,3.889522171E-3,1.148221392E-2,4.839798868E-2,4.989323529E-2
1.323219042E0,-1.111246433E-2,5.168658153E-2,-1.536063552E-2,5.505396169E-2
1.333262042E0,5.521942355E-2,7.671044441E-2,5.603971481E-3,9.468411437E-2
1.343306042E0,6.030969886E-2,7.579528664E-2,5.635078669E-2,1.120606818E-1
1.353349042E0,5.485662209E-2,8.898833647E-2,-3.674975038E-3,1.046024783E-1
1.363392042E0,2.750544861E-2,1.082159367E-1,-1.102685469E-1,1.569279806E-1
1.373435042E0,7.924643666E-2,7.422992305E-2,3.760285914E-2,1.149088953E-1
1.383478042E0,1.152881258E-1,4.808636863E-2,1.928364944E-1,2.297597971E-1
1.393522042E0,7.123895804E-2,1.066231552E-1,-8.079741061E-2,1.515642040E-1
1.403565042E0,6.928601086E-2,9.529466819E-2,-3.858869970E-2,1.239786789E-1
1.413608042E0,1.125797868E-1,4.754088736E-2,1.319067532E-1,1.798158389E-1
1.423651042E0,5.346177336E-2,6.137151668E-2,-3.843959570E-2,9.001237019E-2
1.433694042E0,2.115471003E-2,5.045752878E-2,-1.102907664E-1,1.231159499E-1
1.443738042E0,4.506732328E-3,3.924580797E-2,4.179355860E-2,5.750865691E-2
1.453781042E0,-3.120281209E-2,3.546580689E-2,6.918484032E-2,8.377339118E-2
1.463824042E0,-6.241840582E-2,1.908715285E-2,-1.017643565E-1,1.208981433E-1
1.473867042E0,-4.870556592E-2,-5.213985038E-3,-6.763708234E-2,8.351163212E-2
1.483911042E0,-4.610170486E-2,-1.307563957E-2,7.112494648E-2,8.576186538E-2
1.493954042E0,-4.649552854E-2,-1.923307286E-2,-4.518552840E-2,6.762748881E-2
1.503997042E0,-5.761976496E-2,-3.813547653E-2,-7.871697128E-2,1.047411736E-1
1.514040042E0,-4.204779371E-2,-6.006278191E-3,3.699299455E-2,5.632560678E-2
1.524083042E0,-3.731587049E-2,4.703125684E-4,7.606292009E-2,8.472463158E-2
1.534127042E0,-5.076047850E-2,-1.762346230E-3,-4.218883038E-2,6.602749011E-2
1.544170042E0,-2.391169048E-2,2.650220345E-2,-3.605042338E-2,5.073232456E-2
1.554213042E0,7.534772339E-3,2.318322791E-2,7.741421163E-2,8.116153654E-2
1.564256042E0,1.889275577E-2,3.789590971E-2,2.382740378E-2,4.858787261E-2
1.574299042E0,2.554592787E-2,5.340888804E-2,-7.706220925E-2,9.717863884E-2
1.584343042E0,6.472898334E-2,7.168676340E-2,3.610304832E-2,1.031128674E-1
1.594386042E0,4.308886304E-2,7.444764047E-2,7.337729394E-2,1.130633829E-1
1.604429042E0,6.549135062E-2,7.676652286E-2,-4.382897437E-2,1.100145219E-1
1.614472042E0,8.699732300E-2,7.518340750E-2,-7.137286842E-2,1.353335336E-1
1.624516042E0,8.558079846E-2,6.859083630E-2,9.208838403E-2,1.432097984E-1
1.634559042E0,6.634540956E-2,6.971664459E-2,5.406686425E-2,1.103872715E-1
1.644602042E0,3.148162834E-2,7.728612106E-2,-1.227160996E-1,1.484030948E-1
1.654645042E0,2.917017375E-2,6.939717191E-2,2.577569604E-2,7.956917124E-2
1.664688042E0,6.861360390E-3,4.823401996E-2,1.004703677E-1,1.116597229E-1
1.674732042E0,-8.342291093E-3,4.405299582E-2,-8.259952247E-2,9.398372930E-2
1.684775042E0,-1.149667893E-2,3.558627780E-2,-7.765979469E-2,8.619513040E-2
1.694818042E0,-8.011224484E-3,-1.132881131E-2,8.669725120E-2,8.780054128E-2
1.704861042E0,-2.622291896E-2,-3.770222983E-2,3.744732320E-2,5.925708082E-2
1.714904042E0,-5.304254171E-2,-3.997631706E-2,-8.904139996E-2,1.110854989E-1
1.724948042E0,-5.768806318E-2,-4.872387959E-2,2.352334857E-2,7.909030916E-2
1.734991042E0,-4.610643745E-2,-5.490252273E-2,1.148346376E-1,1.353775631E-1
1.745034042E0,-5.663640490E-2,-2.801241134E-2,-2.048396587E-2,6.642266486E-2
1.755077042E0,-4.019921475E-2,-3.804070596E-3,-9.907229841E-2,1.069848967E-1
1.765121042E0,-7.439401054E-3,6.874132901E-3,7.516537249E-2,7.584478633E-2
1.775164042E0,-1.650822011E-2,3.218660155E-2,7.860821307E-2,8.653178498E-2
1.785207042E0,1.202070594E-2,5.617854507E-2,-1.191311717E-1,1.322602071E-1
1.795250042E0,2.601423503E-2,6.596579279E-2,-5.266762555E-2,8.832952521E-2
1.805293042E0,4.029954018E-2,6.630883705E-2,1.151357692E-1,1.388422132E-1
1.815337042E0,5.762568070E-2,7.724570218E-2,7.513087392E-3,9.666469916E-2
1.825380042E0,4.592324601E-2,8.819602048E-2,-1.141850120E-1,1.514123493E-1
1.835423292E0,3.919402356E-2,1.083265222E-1,-7.513262808E-2,1.375344273E-1
1.845466292E0,6.027813303E-2,8.640030401E-2,2.185484558E-1,2.426147015E-1
1.855509292E0,7.620321672E-2,5.641859611E-2,-5.149408937E-2,1.078963830E-1
1.865553292E0,5.961151390E-2,5.171876406E-2,2.080965579E-2,8.161743024E-2
1.875596292E0,4.529146350E-2,3.711651241E-2,1.233528614E-1,1.365462580E-1
1.885639292E0,3.659900642E-2,3.788320572E-2,2.980676651E-2,6.052328375E-2
1.895682292E0,6.613829022E-3,2.448156103E-2,-8.319652319E-2,8.697557724E-2
1.905726292E0,-3.069655056E-2,1.220619972E-2,1.036711335E-2,3.462291968E-2
1.915769292E0,-1.327994312E-1,-5.138683864E-3,2.787601590E-2,1.357908953E-1
1.925812292E0,4.057211179E-2,-1.768268819E-2,-6.148931980E-2,7.576087491E-2
1.948990208E0,-2.457266111E-2,2.835076413E-2,2.266614676E-2,4.383304358E-2
1.959034208E0,-3.432837498E-2,4.281792683E-2,-2.224456251E-2,5.921682824E-2
1.969077208E0,9.379648820E-3,3.102040180E-2,7.056244433E-2,7.764857816E-2
1.979120208E0,1.242911568E-2,1.044206735E-2,1.187610430E-1,1.198653620E-1
1.989163208E0,-1.258286547E-3,9.304646859E-3,1.338018358E-2,1.634591847E-2
1.999207208E0,1.573471114E-2,1.489548951E-2,2.340991259E-2,3.189797407E-2
2.009250208E0,1.725028431E-2,1.514757760E-2,1.204070342E-1,1.225759980E-1
2.019293208E0,1.490868229E-2,2.469424437E-2,7.295395553E-2,7.844969178E-2
2.029336208E0,2.426921803E-2,2.021974482E-2,-1.910577714E-2,3.691698450E-2
2.039379208E0,5.250839399E-2,1.816736299E-2,4.690811813E-2,7.271558336E-2
2.049423208E0,2.977603665E-2,4.169845912E-2,9.720528245E-2,1.098828503E-1
2.059466208E0,8.228478238E-3,2.992272411E-2,-3.436993361E-2,4.630733860E-2
2.069509208E0,3.327069361E-2,3.027966921E-2,-5.861833692E-2,7.389118245E-2
2.079552208E0,2.060485021E-2,2.454386129E-2,5.185486257E-2,6.095808192E-2
2.089595208E0,-1.286717035E-2,2.845894676E-2,1.368891656E-2,3.410076480E-2
2.099639208E0,3.330907510E-3,3.217899104E-2,-1.096458185E-1,1.143187995E-1
2.109682208E0,-1.272245176E-2,2.063991294E-2,-5.050941825E-2,5.602738720E-2
2.119725208E0,3.762591910E-3,9.021102581E-3,5.712963581E-2,5.795975050E-2
2.129768208E0,-3.229624370E-2,9.732160550E-3,-1.138078666E-1,1.187012755E-1
2.139811208E0,-2.747184539E-2,3.929143452E-2,-1.043757230E-1,1.148599611E-1
2.149855208E0,3.146712222E-2,-2.627391536E-3,4.710867763E-2,5.671252485E-2
2.159898208E0,-1.507937531E-3,3.622744784E-2,4.172339201E-2,5.527696892E-2
2.169941208E0,-1.006091111E-3,3.485488705E-4,-1.206888700E-1,1.206935667E-1
2.179983583E0,1.429387041E-2,4.876031505E-2,-8.869056702E-3,5.158045387E-2
2.190027583E0,9.923522102E-3,1.443803625E-2,8.873032808E-2,9.044337623E-2
2.200070583E0,2.088157425E-2,2.132914435E-2,-5.048018217E-2,5.864487475E-2
2.210113583E0,3.337880314E-2,2.913859421E-2,-6.724590361E-2,8.053082469E-2
2.220156583E0,2.777177101E-2,2.759428974E-2,9.906001925E-2,1.065157430E-1
2.230199583E0,2.513493257E-2,1.390015637E-2,9.890974581E-2,1.029957135E-1
2.240243583E0,1.181593462E-2,2.284123432E-2,-2.937114894E-2,3.903847700E-2
